,oem,version,segment,size,mass_in_running_order(kg),distance_between_axles,area(m²),conpet_novo,fuel_type,engine_type,direct_injection,displacement(cm³),power(cv),transmission_type,cylinder_number,turbo,ebd_(abs),traction_control,lane_change_blink,front_airbags,emergency_lightning,electronic_stability_control,blind_spot_monitoring,fatigue_detection,collision_mitigation_braking_system,forward_collision_warning,lane_departure,lane_keep_assist,adaptive_high_beam,cruise_control,adaptive_cruise_control,buckle_unlock_indicator_(passenger),buckle_unlock_indicator_(pilot),tpms,stop/start,gear_change_indicator,led_daytime_running_lights,led_backlight,hidraulic_steering,electric_steering,air_conditioning,automatic_air_conditioning,reverse_camera,auxiliary_parking_with_guides,rear_parking_sensors,front_and_rear_parking_sensors,parking_assistant,jam_assist,bluetooth_with_wireless_charging,hill_assist,downhill_assist,keyless_entry,start-stop_button,color_liquid_crystal_display_on_the_panel,entire_digital_and_configurable_cluster,audio_system_(as),display_audio_(da),android_auto,carplay_(apple),embedded_navigation_(nav),total_itens,prices
78,AUDI,I/AUDI Q5 2.0TFSI,SUV,LARGE,1720.0,2819.0,8.827059,2.53,GASOLINE,COMBUSTION,1,2.0,252.0,AMT,4,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,28,308856.969
79,AUDI,I/AUDI Q5 2.0TFSI,SUV,LARGE,2295.0,2819.0,8.762697,2.53,GASOLINE,COMBUSTION,1,2.0,252.0,AMT,4,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,31,394547.86499999993
80,AUDI,I/AUDI Q5 2.0TFSI,SUV,LARGE,1720.0,2819.0,8.827059,2.4,GASOLINE,COMBUSTION,1,2.0,252.0,AMT,4,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,24,274471.443
81,AUDI,I/AUDI Q5 2.0TFSI,SUV,LARGE,1720.0,2819.0,8.827059,2.4,GASOLINE,COMBUSTION,1,2.0,252.0,AMT,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,36,273390.183
82,AUDI,I/AUDI Q5 2.0TFSI,SUV,LARGE,1720.0,2819.0,8.827059,2.4,GASOLINE,COMBUSTION,1,2.0,252.0,AMT,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,35,283239.7
83,AUDI,I/AUDI Q5 225CV,SUV,LARGE,1755.0,2807.0,8.785842,2.74,GASOLINE,COMBUSTION,1,2.0,225.0,AUTOMATIC,4,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,20,310166.424
84,AUDI,I/AUDI Q5 3.0TFSI,SUV,LARGE,1840.0,2807.0,8.785842,2.92,GASOLINE,COMBUSTION,1,3.0,272.0,AUTOMATIC,6,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,23,372441.624
85,AUDI,I/AUDI Q5 PRESTIGE PLUS,SUV,LARGE,1720.0,2819.0,8.827059,2.4,GASOLINE,COMBUSTION,1,2.0,252.0,AMT,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,36,350189.7
102,AUDI,I/AUDI RS3 LM 2.5TFSI,SEDAN,LARGE,1515.0,2631.0,8.071158,2.61,GASOLINE,COMBUSTION,1,2.5,400.0,DUAL CLUTCH,5,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,28,360547.074
103,AUDI,I/AUDI RS3 SPB 367CV,HATCHBACK,MEDIUM,1520.0,2631.0,7.8174,2.53,GASOLINE,COMBUSTION,1,2.5,367.0,DUAL CLUTCH,5,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,23,339061.548
